name,avg,max,dev,samples
C10087,56.79406759906759,67.46153846153847,10.667470862470879,110
C10174,56.96274391496353,76.34615384615384,19.383409931190307,214
C10094,57.014299574299585,82.51666666666667,25.50236709236708,185
C10008,57.04258094056482,70.38461538461539,13.342034444050569,124
C10137,57.22018119421033,67.65833333333333,10.438152139122998,103
C10123,57.23852258852256,66.825,9.586477411477446,135
C10049,57.411027284167346,77.15714285714284,19.746115572975498,457
C10870,57.42339604839606,67.75714285714285,10.333746808746795,231
C10042,57.47360111153213,77.85714285714286,20.383541745610728,116
C10172,57.492159712268396,70.06153846153846,12.569378749270065,138
C10013,57.59759948789073,76.25714285714285,18.65954336925212,103
C10040,57.692043606462676,67.60000000000001,9.907956393537333,241
C10154,57.738244336890546,68.06923076923077,10.330986432340225,277
C10046,57.75850076765917,69.47692307692309,11.718422309263914,303
C10017,57.975528277117895,77.87142857142858,19.895900294310685,173
C10427,58.00050202773419,72.39999999999999,14.399497972265799,168
C10395,58.06956877392275,71.39230769230768,13.322738918384935,178
C10156,58.20210957370423,81.85714285714286,23.655033283438634,301
C10939,58.2063740694789,75.26923076923077,17.062856699751876,124
C10175,58.21963938360488,83.18333333333334,24.96369394972846,145
C10101,58.261563317634746,81.86666666666666,23.605103349031914,560
C10177,58.26352407754847,81.27142857142859,23.00790449388012,123
C10088,58.31225740437233,87.37142857142858,29.05917116705625,409
C10612,58.34533523237432,67.54166666666667,9.196331434292354,461
C10155,58.36855318064112,76.81428571428572,18.445732533644595,273
C10057,58.388271433208125,81.2,22.811728566791878,316
C10185,58.42027855865065,82.03333333333332,23.613054774682666,258
C10476,58.453180430680426,75.84615384615384,17.392973415473413,330
C10052,58.48649852879359,67.99166666666667,9.505168137873085,305
C10043,58.521139270187724,86.70714285714287,28.186003586955145,578
C10138,58.522391611121115,70.625,12.102608388878885,122
C10093,58.55527907596873,69.65833333333332,11.10305425736459,261
C10041,58.58872505925447,70.52307692307691,11.934351863822442,425
C10119,58.642811710253596,69.375,10.732188289746404,129
C10639,58.79168075514231,87.3,28.508319244857688,182
C10102,58.83251846514138,68.32307692307693,9.490558457935542,305
C10007,58.99073965651834,80.57142857142857,21.580688914910226,366
C10038,59.07634538806138,80.71666666666667,21.640321278605292,574
C10051,59.09590550487017,95.38333333333333,36.28742782846316,7563
C10071,59.127580627392696,72.86428571428571,13.736705086893018,399
C10976,59.14371969941822,69.93571428571428,10.791994586296063,136
C10059,59.17461554598118,82.53333333333335,23.358717787352163,227
C10182,59.209541319101575,86.35714285714286,27.147601538041286,523
C10149,59.22275224775228,71.7,12.47724775224772,220
C10426,59.23239512610525,81.22857142857143,21.996176302466175,314
C10095,59.25929110843493,81.3,22.040708891565068,438
C10100,59.29164603512431,74.08461538461539,14.79296934949108,253
C10136,59.29401160905066,68.95833333333333,9.664321724282665,384
C10736,59.330196986419686,81.8,22.46980301358031,229
C10036,59.33532378157726,69.94615384615385,10.61083006457659,367
C10148,59.41213564803995,74.08571428571429,14.67357863767434,470
C10144,59.56774708901141,70.14285714285715,10.57511005384574,783
C10153,59.618783252946116,82.53333333333335,22.91455008038723,442
C10070,59.6367770726926,82.03333333333332,22.396556260640715,284
C10069,59.66718483581311,83.75,24.08281516418689,565
C10124,59.72905352223537,77.01428571428572,17.28523219205035,242
C10757,59.73989044749414,82.58571428571429,22.84582383822015,217
C10146,59.74884307112028,68.52307692307693,8.774233851956652,101
C10718,59.83547953369379,81.0,21.164520466306207,252
C10611,59.912600201730655,73.66153846153846,13.748938259807801,138
C10163,59.92041547220891,81.32857142857144,21.408155956362528,920
C10073,59.9932599515656,80.98333333333333,20.990073381767736,301
C10048,60.05189198511476,68.73571428571428,8.683822300599523,377
C10079,60.075295638617426,68.78461538461538,8.709319745997952,289
C10062,60.08957362082362,82.71428571428571,22.624712093462087,132
C10091,60.132194211017755,80.17692307692307,20.04472886590532,255
C10714,60.17577976979913,81.27142857142859,21.09564880162946,464
C10937,60.20737786310075,86.28571428571429,26.07833642261354,166
C10187,60.22527512516594,76.88461538461539,16.659340259449444,229
C10826,60.253873416659665,66.94615384615385,6.692280429494183,131
C10147,60.284272039071965,80.01428571428572,19.730013675213755,375
C10045,60.319043591439446,87.01666666666667,26.69762307522722,432
C10682,60.34921124597581,68.94285714285715,8.593645896881341,292
C10323,60.35191740412982,80.4857142857143,20.133796881584473,113
C10263,60.409837982530284,67.17692307692309,6.7670850943928045,260
C10104,60.47224561640552,80.21428571428571,19.742040097880185,732
C10286,60.47613567534827,74.54285714285716,14.066721467508891,127
C10031,60.48245050829318,80.62857142857142,20.146120920278243,178
C10247,60.52015642015645,79.01428571428572,18.494129294129273,148
C10044,60.524014652014635,70.88461538461539,10.360600732600751,550
C10082,60.53029319377082,78.38571428571427,17.855421091943455,358
C10650,60.55022733114838,67.53846153846153,6.988234207313155,114
C10118,60.64720006283815,81.25714285714285,20.6099427943047,478
C10099,60.64886670013575,79.02857142857142,18.379704728435676,394
C10078,60.66850079799522,85.075,24.40649920200478,801
C10178,60.941383040353294,85.42857142857144,24.48718838821815,607
C10470,61.009638949541255,91.28571428571429,30.276075336173037,307
C10120,61.5022174899394,82.21428571428571,20.71206822434631,507
C10350,61.592774846299115,79.91666666666667,18.323891820367557,227
C10171,61.63860427282207,74.45,12.811395727177931,179
C10927,61.76083540115794,69.69285714285715,7.932021741699209,217
C10173,61.89449194963666,69.10000000000001,7.205508050363349,311
C10322,61.94408985353346,79.22857142857143,17.284481575037965,683
C10372,61.99581598956598,82.21666666666667,20.220850677100685,132
C10068,62.00462368539288,78.24166666666667,16.237042981273795,481
C10889,62.18297045278373,78.7,16.517029547216275,241
C10403,62.183337495837485,68.5923076923077,6.408970196470214,154
C10319,62.38317731651064,69.54285714285714,7.159679826346505,189
C10053,62.547854791604834,88.51666666666667,25.96881187506183,592
C10729,62.700314634689576,76.14166666666667,13.44135203197709,296
C10495,62.83158167776396,68.88333333333334,6.051751655569383,203
C10479,62.889206134653385,87.17142857142858,24.282222436775193,313
C10967,63.18330165641484,77.78571428571429,14.602412629299451,159
C10271,63.38709587513937,76.375,12.987904124860627,138
C10152,63.472001869658065,91.87142857142858,28.399426701770516,288
C10080,63.638987739376375,89.2857142857143,25.64672654633793,193
C10116,63.81960792294125,71.11428571428571,7.294677791344462,270
C10402,63.929456654456644,70.08571428571429,6.156257631257645,207
C10159,64.10722395795928,80.82857142857142,16.721347470612145,306
C10202,64.28418207808456,82.73333333333333,18.44915125524878,123
C10183,64.54469282446462,74.35384615384615,9.80915332938153,241
C10058,64.75986387983873,87.46666666666665,22.70680278682792,199
C10404,66.40656183669624,88.57142857142857,22.16486673473233,409
C10888,66.5861286208679,90.73333333333335,24.147204712465452,326
C10028,66.9393730603322,90.22857142857143,23.289198368239227,563
C10064,67.98080923462501,89.53571428571429,21.55490505108928,190
C10582,69.33331589045876,88.8076923076923,19.474376417233543,105
C10075,74.81832307692312,88.85384615384615,14.035523076923027,125
C10165,77.4374422187681,100.0,22.562557781231902,939
C10307,86.3921435013399,100.0,13.607856498660098,196
C10917,88.03863276934699,91.32857142857144,3.289938659224447,315
C10305,91.92505658005656,100.0,8.074943419943438,407
